Organisms	Organisms.1
vpe	Variovorax paradoxus EPS
vpd	Variovorax paradoxus B4
vaa	Variovorax sp. PAMC 28711
vbo	Variovorax boronicumulans
vam	Variovorax sp. PMC12
ctt	Comamonas thiooxydans
ctes	Comamonas testosteroni TK102
cke	Comamonas kerstersii
cser	Comamonas serinivorans
cof	Comamonas sp. NLF 7-7
adn	Alicycliphilus denitrificans BC
adk	Alicycliphilus denitrificans K601
rta	Ramlibacter tataouinensis
cbx	Candidatus Symbiobacter mobilis
oto	Ottowia sp. oral taxon 894
otk	Ottowia oryzae
lim	Limnohabitans sp. 103DPR2
lih	Limnohabitans sp. 63ED37-2
hyr	Hydrogenophaga sp. RAC07
hyb	Hydrogenophaga sp. PBC
hyl	Hydrogenophaga sp. LPB0072
hyc	Hydrogenophaga sp. PAMC20947
hpse	Hydrogenophaga pseudoflava
hyn	Hydrogenophaga sp. BPS33
dpy	Diaphorobacter polyhydroxybutyrativorans
dih	Diaphorobacter sp. HDW4A
daer	Diaphorobacter aerolatus
simp	Simplicispira suum
melm	Pulveribacter suum
mela	Melaminivora sp. SC2-9
cbaa	Serpentinomonas raichei
cbab	Serpentinomonas mccroryi
mpt	Methylibium petroleiphilum
metp	Methylibium sp. Pch-M
har	Herminiimonas arsenicoxydans
mms	Janthinobacterium sp. Marseille
jag	Janthinobacterium agaricidamnosum
jab	Janthinobacterium sp. B9-8
jaz	Janthinobacterium sp. 1_2014MBL_MicDiv
jal	Janthinobacterium sp. LM6
jsv	Janthinobacterium svalbardensis
jaj	Janthinobacterium sp. 17J80-10
jas	Janthinobacterium sp. SNU WT3
jlv	Janthinobacterium lividum
hse	Herbaspirillum seropedicae SmR1
hsz	Herbaspirillum seropedicae Z67
hht	Herbaspirillum hiltneri
hrb	Herbaspirillum rubrisubalbicans
hee	Herbaspirillum sp. meg3
hhf	Herbaspirillum huttiense
hfr	Herbaspirillum frisingense
zin	Candidatus Zinderia insecticola
cfu	Collimonas fungivorans
care	Collimonas arenae
cpra	Collimonas pratensis
mnr	Massilia sp. NR 4-1
masw	Massilia sp. WG5
mass	Massilia violaceinigra
masz	Massilia armeniaca
mtim	Massilia oculi
masy	Massilia sp. YMA4
mali	Massilia albidiflava
mum	Massilia umbonata
mfla	Massilia flava
mpli	Massilia plicata
ofo	Oxalobacter formigenes
upv	Undibacterium parvum
upi	Undibacterium piscinae
nok	Noviherbaspirillum sp. UKPF54
dug	Duganella sp. AF9R3
sutt	Sutterella megalosphaeroides
sutk	Sutterella faecalis
lch	Leptothrix cholodnii
tin	Thiomonas intermedia
thi	Thiomonas arsenitoxydans
rge	Rubrivivax gelatinosus
rbn	Rubrivivax benzoatilyticus
rdp	Roseateles depolymerans
pkt	Paucibacter sp. KCTC 42545
miu	Mitsuaria sp. 7
rgu	Rhizobacter gummiphilus
aon	Aquabacterium olei
snn	Sphaerotilus natans subsp. sulfidivorans
xyk	Xylophilus sp. KACC 21265
bbag	Burkholderiales bacterium GJ-E10
bbay	Burkholderiales bacterium YL45
pbh	Polyangium brachysporum
neu	Nitrosomonas europaea
net	Nitrosomonas eutropha
nit	Nitrosomonas sp. AL212
nii	Nitrosomonas sp. Is79A3
nco	Nitrosomonas communis
nur	Nitrosomonas ureae
nst	Nitrosomonas stercoris
nmu	Nitrosospira multiformis
nlc	Nitrosospira lacus
shd	Sulfuritalea hydrogenivorans
metr	Methyloversatilis sp. RAC08
doe	Denitratisoma oestradiolicum
tbd	Thiobacillus denitrificans
mfa	Methylobacillus flagellatus
mmb	Methylotenera mobilis
meh	Methylotenera versatilis
mei	Methylovorus glucosetrophus
mep	Methylovorus sp. MP688
mbac	Candidatus Methylopumilus turicensis
mbat	Candidatus Methylopumilus planktonicus
meu	Methylophilus sp. TWE2
slt	Sideroxydans lithotrophicus
gca	Gallionella capsiferriformans
fam	Ferriphaselus amnicola
nim	Candidatus Nitrotoga sp. AM1P
sdr	Sulfuricella denitrificans
sulf	Sulfuriferula sp. AH1
splb	Sulfuriferula plumbiphila
sniv	Sulfuriferula nivalis
slac	Sulfurimicrobium lacus skT11
eba	Aromatoleum aromaticum
dsu	Azospira oryzae
rbu	Rugosibacter aromaticivorans
otr	Oryzomicrobium terrae
rbh	Rhodocyclaceae bacterium Thauera-like
dar	Dechloromonas aromatica
dey	Dechloromonas sp. HYN0024
azo	Azoarcus olearius BH72
aoa	Azoarcus olearius DQS4
aza	Azoarcus sp. KH32C
azi	Azoarcus sp. CIB
atw	Azoarcus sp. SY39
acom	Azoarcus communis
azd	Azoarcus sp. DN11
azr	Azoarcus sp. DD4
azq	Azoarcus sp. M9-3-2
tmz	Thauera sp. MZ1T
thu	Thauera humireducens
tcl	Thauera chlorobenzoica
thk	Thauera sp. K11
tak	Thauera aromatica
zpa	Zoogloeaceae bacteirum Par-f-2
fmy	Ferrovum myxofaciens
app	Accumulibacter phosphatis
tpn	Candidatus Tremblaya princeps PCIT
tpq	Candidatus Tremblaya princeps PCVAL
tpj	Candidatus Tremblaya phenacola
kci	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
kct	Candidatus Kinetoplastibacterium crithidii TCC036E
kbl	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)
kbt	Candidatus Kinetoplastibacterium blastocrithidii TCC012E
kde	Candidatus Kinetoplastibacterium desouzaii
kga	Candidatus Kinetoplastibacterium galatii
kon	Candidatus Kinetoplastibacterium oncopeltii
kso	Candidatus Kinetoplastibacterium sorsogonicusi
ssdc	Candidatus Profftella armatura
ndl	Candidatus Nasuia deltocephalinicola
vfg	Candidatus Vidania fulgoroideae
bprc	Beta proteobacterium CB
beb	Betaproteobacteria bacterium UKL13-2
beba	Betaproteobacteria bacterium GR16-43
hpy	Helicobacter pylori 26695
heo	Helicobacter pylori 26695
hpj	Helicobacter pylori J99
hpa	Helicobacter pylori HPAG1
hps	Helicobacter pylori Shi470
hhp	Helicobacter pylori Shi112
hhq	Helicobacter pylori Shi169
hhr	Helicobacter pylori Shi417
hpg	Helicobacter pylori G27
hpp	Helicobacter pylori P12
hpb	Helicobacter pylori B38
hpl	Helicobacter pylori B8
hpc	Helicobacter pylori PeCan4
hca	Helicobacter pylori PeCan18
hpm	Helicobacter pylori SJM180
hpe	Helicobacter pylori ELS37
hpo	Helicobacter pylori 35A
hpi	Helicobacter pylori 908
hpq	Helicobacter pylori 2017
hpw	Helicobacter pylori 2018
hpu	Helicobacter pylori Cuz20
hef	Helicobacter pylori F16
hpf	Helicobacter pylori F30
heq	Helicobacter pylori F32
hex	Helicobacter pylori F57
hpt	Helicobacter pylori Sat464
hpz	Helicobacter pylori 52
hpv	Helicobacter pylori v225d
hpx	Helicobacter pylori 83
hen	Helicobacter pylori SNT49
hph	Helicobacter pylori Lithuania75
heg	Helicobacter pylori Gambia94/24
hpn	Helicobacter pylori India7
hep	Helicobacter pylori Puno120
heu	Helicobacter pylori Puno135
hes	Helicobacter pylori SouthAfrica7
hpys	Helicobacter pylori SouthAfrica20
hcn	Helicobacter pylori HUP-B14
hpd	Helicobacter pylori 51
hey	Helicobacter pylori XZ274
her	Helicobacter pylori Rif1
hei	Helicobacter pylori Rif2
hpya	Helicobacter pylori Aklavik117
hpyk	Helicobacter pylori Aklavik86
hpyo	Helicobacter pylori OK113
hpyl	Helicobacter pylori OK310
hpyb	Helicobacter pylori oki102
hpyc	Helicobacter pylori oki112
hpyd	Helicobacter pylori oki128
hpye	Helicobacter pylori oki154
hpyf	Helicobacter pylori oki422
hpyg	Helicobacter pylori oki673
hpyh	Helicobacter pylori oki828
hpyj	Helicobacter pylori oki898
hpyr	Helicobacter pylori UM032
hpyi	Helicobacter pylori UM037
hpyu	Helicobacter pylori UM066
hpym	Helicobacter pylori UM299
hem	Helicobacter pylori UM298
heb	Helicobacter pylori BM012A
hez	Helicobacter pylori BM012S
hhe	Helicobacter hepaticus
hac	Helicobacter acinonychis
hms	Helicobacter mustelae
hfe	Helicobacter felis
hbi	Helicobacter bizzozeronii
hce	Helicobacter cetorum MIT 00-7128
hcm	Helicobacter cetorum MIT 99-5656
hcp	Helicobacter cinaedi PAGU611
hcb	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847
hhm	Helicobacter heilmannii
hty	Helicobacter typhlonius
hbl	Helicobacter bilis
had	Helicobacter apodemus
het	Helicobacter sp. MIT 01-6242
hcl	Helicobacter cholecystus
wsu	Wolinella succinogenes
tdn	Sulfurimonas denitrificans
sua	Sulfurimonas autotrophica
suln	Sulfurimonas sp. 1-1N
sulg	Sulfurimonas sp. GYSZ_1
sulc	Sulfurimonas sp. CVO
sku	Sulfuricurvum kujiense
sulr	Candidatus Sulfuricurvum sp. RIFRC-1
cje	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
cjb	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
cjj	Campylobacter jejuni subsp. jejuni 81-176
cju	Campylobacter jejuni subsp. jejuni 81116
cjn	Campylobacter jejuni subsp. jejuni ICDCCJ07001
cji	Campylobacter jejuni subsp. jejuni IA3902
cjm	Campylobacter jejuni subsp. jejuni M1
cjs	Campylobacter jejuni subsp. jejuni S3
cjp	Campylobacter jejuni subsp. jejuni PT14
cjej	Campylobacter jejuni subsp. jejuni 00-2426
cjeu	Campylobacter jejuni subsp. jejuni 00-2538
cjen	Campylobacter jejuni subsp. jejuni 00-2544
cjei	Campylobacter jejuni subsp. jejuni 00-2425
cjer	Campylobacter jejuni subsp. jejuni R14
cjv	Campylobacter jejuni subsp. jejuni MTVDSCj20
cjy	Campylobacter jejuni subsp. jejuni YH001
cjq	Campylobacter jejuni subsp. jejuni 35925B2
cjl	Campylobacter jejuni subsp. jejuni 00-1597
cjw	Campylobacter jejuni subsp. jejuni 00-6200
cjr	Campylobacter jejuni RM1221
cjd	Campylobacter jejuni subsp. doylei 269.97
cjz	Campylobacter jejuni 32488
cjx	Campylobacter jejuni 4031
cff	Campylobacter fetus subsp. fetus 82-40
cft	Campylobacter fetus subsp. fetus 04/554
cfv	Campylobacter fetus subsp. venerealis cfvi03/293
cfx	Campylobacter fetus subsp. venerealis 97/608
cfz	Campylobacter fetus subsp. venerealis 84-112
camp	Campylobacter fetus subsp. testudinum 03-427
cfp	Campylobacter fetus subsp. testudinum pet-3
ccv	Campylobacter curvus
cha	Campylobacter hominis
cco	Campylobacter concisus 13826
ccoc	Campylobacter concisus ATCC 33237
cla	Campylobacter lari RM2100
clr	Campylobacter lari RM16701
clm	Campylobacter lari RM16712
clq	Campylobacter lari CCUG 22395
cln	Campylobacter lari NCTC 11845
cll	Campylobacter lari subsp. concheus LMG 11760
ccol	Campylobacter coli 76339
ccc	Campylobacter coli CVM N29710
ccq	Campylobacter coli 15-537360
ccf	Campylobacter coli RM1875
ccy	Campylobacter coli RM4661
ccoi	Campylobacter coli RM5611
ccof	Campylobacter coli FB1
ccoo	Campylobacter coli OR12
caj	Campylobacter iguaniorum
cis	Campylobacter insulaenigrae
cvo	Campylobacter volucris
cpel	Campylobacter peloridis
camr	Campylobacter sp. RM16704
csm	Campylobacter subantarcticus LMG 24374
csf	Campylobacter subantarcticus LMG 24377
cgra	Campylobacter gracilis
cure	Campylobacter ureolyticus
chyo	Campylobacter hyointestinalis
chv	Campylobacter helveticus
cspf	Campylobacter sputorum
cpin	Campylobacter pinnipediorum
ccun	Campylobacter cuniculorum
clx	Campylobacter lanienae
cavi	Campylobacter avium
chw	Campylobacter hepaticus
camz	Campylobacter sp. RM12175
camy	Campylobacter sp. RM6137
coj	Campylobacter ornithocola
cux	Campylobacter upsaliensis
crx	Campylobacter rectus
cgeo	Campylobacter geochelonis
abu	Arcobacter butzleri RM4018
abt	Arcobacter butzleri ED-1
abl	Arcobacter butzleri 7h1h
ant	Arcobacter nitrofigilis
ask	Arcobacter skirrowii
atp	Arcobacter trophiarum
aell	Arcobacter ellisii
aaqi	Arcobacter aquimarinus
acib	Arcobacter cibarius
asui	Arcobacter suis
ahs	Arcobacter halophilus
amyt	Arcobacter mytili
amar	Arcobacter marinus
acaa	Arcobacter canalis
amol	Arcobacter molluscorum
apai	Arcobacter pacificus
apoc	Arcobacter porcinus
afc	Aliiarcobacter faecis
hbv	Halarcobacter bivalviorum
hebr	Halarcobacter ebronensis
paco	Pseudoarcobacter acticola
arc	Arcobacter sp. L
alp	Arcobacter sp. LPB0137
sdl	Sulfurospirillum deleyianum
sba	Sulfurospirillum barnesii
smul	Sulfurospirillum multivorans
shal	Sulfurospirillum halorespirans
suls	Sulfurospirillum sp. SL2-1
sulj	Sulfurospirillum sp. JPD-1
sult	Sulfurospirillum sp. ACSTCE
hyo	Hydrogenimonas sp. MAG
nsa	Nitratifractor salsuginis
sun	Sulfurovum sp. NBC37-1
slh	Sulfurovum lithotrophicum
nis	Nitratiruptor sp. SB155-2
nam	Nautilia profundicola
nap	Nautilia sp. PV-1
cmed	Caminibacter mediatlanticus
cpaf	Cetia pacifica
gsu	Geobacter sulfurreducens PCA
gsk	Geobacter sulfurreducens KN400
gme	Geobacter metallireducens
gur	Geobacter uraniireducens
glo	Geobacter lovleyi
gbm	Geobacter bemidjiensis
geo	Geobacter daltonii FRC-32
gem	Geobacter sp. M21
geb	Geobacter sp. M18
gpi	Geobacter pickeringii
gao	Geobacter anodireducens
gsb	Geoalkalibacter subterraneus
pca	Pelobacter carbinolicus
ppd	Pelobacter propionicus
pace	Pelobacter acetylenicus
pef	Pelobacter sp. SFB93
des	Desulfuromonas soudanensis
deu	Desulfuromonas sp. DDH964
dvu	Desulfovibrio vulgaris Hildenborough
dvl	Desulfovibrio vulgaris DP4
dvm	Desulfovibrio vulgaris Miyazaki F
dvg	Desulfovibrio vulgaris RCH1
dde	Desulfovibrio alaskensis
dds	Desulfovibrio desulfuricans ATCC 27774
ddn	Desulfovibrio desulfuricans ND132
dma	Desulfovibrio magneticus
dsa	Desulfovibrio salexigens
dhy	Desulfovibrio hydrothermalis
dgg	Desulfovibrio gigas
dfi	Desulfovibrio fairfieldensis
dpg	Desulfovibrio piger
def	Desulfovibrio sp. G11
dtr	Candidatus Desulfovibrio trichonymphae
dfl	Desulfovibrio ferrophilus
dcb	Desulfovibrio carbinolicus
dms	Desulfovibrio marinus
dsd	Desulfovibrio sulfodismutans
daf	Desulfocurvibacter africanus subsp. africanus
das	Pseudodesulfovibrio aespoeensis
dpi	Pseudodesulfovibrio piezophilus
dej	Pseudodesulfovibrio indicus
pprf	Pseudodesulfovibrio profundus
psel	Pseudodesulfovibrio sp. SRB007
lip	Lawsonia intracellularis PHE/MN1-00
lir	Lawsonia intracellularis N343
dba	Desulfomicrobium baculatum
doa	Desulfomicrobium orale
drt	Desulfohalobium retbaense
dps	Desulfotalea psychrophila
dak	Desulfurivibrio alkaliphilus
dpr	Desulfobulbus propionicus
deo	Desulfobulbus oralis
dsf	Desulfocapsa sulfexigens
dol	Desulfococcus oleovorans
dml	Desulfococcus multivorans
dal	Desulfatibacillum aliphaticivorans
dat	Desulfobacterium autotrophicum
dto	Desulfobacula toluolica
dov	Desulfosarcina ovata subsp. sediminis
dwd	Desulfosarcina widdelii
dalk	Desulfosarcina alkanivorans
ade	Anaeromyxobacter dehalogenans 2CP-C
acp	Anaeromyxobacter dehalogenans 2CP-1
afw	Anaeromyxobacter sp. Fw109-5
ank	Anaeromyxobacter sp. K
mxa	Myxococcus xanthus
msd	Myxococcus stipitatus
mym	Myxococcus hansupus
ccx	Corallococcus coralloides
mfu	Corallococcus macrosporus
mmas	Myxococcus macrosporus
sur	Stigmatella aurantiaca
age	Archangium gephyra
mbd	Melittangium boletus
cfus	Cystobacter fuscus
vin	Vulgatibacter incomptus
scl	Sorangium cellulosum So ce56
scu	Sorangium cellulosum So0157-2
ccro	Chondromyces crocatus
samy	Sandaracinus amylolyticus
llu	Labilithrix luteola
mrm	Minicystis rosea
hoh	Haliangium ochraceum
sat	Syntrophus aciditrophicus
dao	Desulfobacca acetoxidans
dti	Desulfomonile tiedjei
sfu	Syntrophobacter fumaroxidans
dax	Desulfoglaeba alkanexedens
dbr	Desulfarculus baarsii
hmr	Hippea maritima
dav	Desulfurella acetivorans
bsed	Bradymonas sediminis
pcay	Persicimonas caeni
rpr	Rickettsia prowazekii Madrid E
rpo	Rickettsia prowazekii BuV67-CWPP
rpw	Rickettsia prowazekii Chernikova
rpz	Rickettsia prowazekii Dachau
rpg	Rickettsia prowazekii GvV257
rps	Rickettsia prowazekii Katsinyian
rpv	Rickettsia prowazekii RpGvF24
rpq	Rickettsia prowazekii Rp22
rpl	Rickettsia prowazekii Breinl
rpn	Rickettsia prowazekii NMRC Madrid E
rty	Rickettsia typhi Wilmington
rtt	Rickettsia typhi TH1527
rtb	Rickettsia typhi B9991CWPP
rcm	Rickettsia canadensis McKiel
rcc	Rickettsia canadensis CA410
rbe	Rickettsia bellii RML369-C
rbo	Rickettsia bellii OSU 85-389
rco	Rickettsia conorii
rfe	Rickettsia felis
rak	Rickettsia akari
rri	Rickettsia rickettsii Sheila Smith
rrj	Rickettsia rickettsii Iowa
rra	Rickettsia rickettsii Arizona
rrc	Rickettsia rickettsii Colombia
rrh	Rickettsia rickettsii Hauke
rrb	Rickettsia rickettsii Brazil
rrn	Rickettsia rickettsii Hino
rrp	Rickettsia rickettsii Hlp#2
rrm	Rickettsia rickettsii Morgan
rrr	Rickettsia rickettsii R
rms	Rickettsia massiliae MTU5
rmi	Rickettsia massiliae AZT80
rpk	Rickettsia peacockii
raf	Rickettsia africae
rhe	Rickettsia heilongjiangensis
rja	Rickettsia japonica
rsv	Rickettsia slovaca 13-B
rsw	Rickettsia slovaca D-CWPP
rph	Rickettsia philipii
rau	Rickettsia australis
rmo	Rickettsia montanensis
rpp	Rickettsia parkeri
rre	Rickettsia rhipicephali
ram	Rickettsia amblyommatis GAT-30V
rab	Rickettsia amblyommatis Ac37
rmc	Rickettsia monacensis
ras	Rickettsia asiatica
ric	Rickettsia sp. MEAM1 (Bemisia tabaci)
ots	Orientia tsutsugamushi Boryong
ott	Orientia tsutsugamushi Ikeda
ptc	Candidatus Phycorickettsia trachydisci
wol	Wolbachia wMel (Drosophila melanogaster)
wri	Wolbachia wRi (Drosophila simulans)
wen	Wolbachia wHa (Drosophila simulans)
wed	Wolbachia wNo (Drosophila simulans)
wpi	Wolbachia wPip (Culex quinquefasciatus)
wbm	Wolbachia wBm (Brugia malayi)
woo	Wolbachia wOo (Onchocerca ochengi)
wcl	Wolbachia wCle (Cimex lectularius)
weo	Wolbachia wFol (Folsomia candida)
wpp	Wolbachia pipientis
ama	Anaplasma marginale St. Maries
amf	Anaplasma marginale Florida
amw	Anaplasma marginale Dawn
amp	Anaplasma marginale Gypsy Plains
acn	Anaplasma centrale
aph	Anaplasma phagocytophilum HZ
apy	Anaplasma phagocytophilum HZ2
apd	Anaplasma phagocytophilum Dog2
apha	Anaplasma phagocytophilum JM
aoh	Anaplasma ovis
eru	Ehrlichia ruminantium Welgevonden (South Africa)
erw	Ehrlichia ruminantium Welgevonden (France)
erg	Ehrlichia ruminantium Gardel
ecn	Ehrlichia canis
ech	Ehrlichia chaffeensis Arkansas
echa	Ehrlichia chaffeensis Heartland
echj	Ehrlichia chaffeensis Jax
echl	Ehrlichia chaffeensis Liberty
echs	Ehrlichia chaffeensis Osceola
echv	Ehrlichia chaffeensis Saint Vincent
echw	Ehrlichia chaffeensis Wakulla
echp	Ehrlichia chaffeensis West Paces
emr	Ehrlichia muris
ehh	Ehrlichia sp. HF
nse	Neorickettsia sennetsu
nri	Neorickettsia risticii
nhm	Neorickettsia helminthoeca
nef	Neorickettsia sp. Fin17
mmn	Candidatus Midichloria mitochondrii
fso	Candidatus Fokinia solitaria
rbt	Rickettsiales bacterium Ac37b
ren	Rickettsiales endosymbiont of Stachyamoeba lipophora
paca	Candidatus Paracaedibacter acanthamoebae
caq	Candidatus Paracaedimonas acanthamoebae
naf	Candidatus Nucleicultrix amoebiphila
eaa	Endosymbiont of Acanthamoeba sp. UWC8
mlo	Mesorhizobium japonicum MAFF 303099
mln	Mesorhizobium loti NZP2037
mci	Mesorhizobium ciceri (biovar Biserrulae)
mop	Mesorhizobium opportunistum
mam	Mesorhizobium australicum
mamo	Mesorhizobium amorphae
meso	Mesorhizobium sp. B7
mesw	Mesorhizobium sp. WSM1497
mesm	Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2
mesp	Mesorhizobium sp. Pch-S
mhua	Mesorhizobium huakuii
mjr	Mesorhizobium jarvisii
merd	Mesorhizobium erdmanii
mes	Chelativorans sp. BNC1
hoe	Hoeflea sp. IMCC20628
aak	Aminobacter aminovorans
amih	Aminobacter sp. MSH1
pht	Phyllobacterium zundukense
rpod	Roseitalea porphyridii
niy	Nitratireductor sp. SY7
orm	Oricola sp. MEBiC13590
pla	Parvibaculum lavamentivorans
pmob	Pyruvatibacter mobilis
rbs	Rhodobiaceae bacterium SMS8
sme	Sinorhizobium meliloti 1021
smk	Sinorhizobium meliloti AK83
smq	Sinorhizobium meliloti BL225C
smx	Sinorhizobium meliloti SM11
smi	Sinorhizobium meliloti Rm41
smeg	Sinorhizobium meliloti GR4
smel	Sinorhizobium meliloti 2011
smer	Sinorhizobium meliloti RMO17
smd	Sinorhizobium medicae
rhi	Sinorhizobium fredii NGR234
sfh	Sinorhizobium fredii HH103
sfd	Sinorhizobium fredii USDA 257
six	Sinorhizobium sp. RAC02
same	Sinorhizobium americanum
sino	Sinorhizobium sp. CCBAU 05631
ead	Ensifer adhaerens OV14
eah	Ensifer adhaerens Casida A
esj	Ensifer sojae
eak	Ensifer alkalisoli
emx	Ensifer mexicanus
atu	Agrobacterium fabrum
ara	Agrobacterium radiobacter
atf	Agrobacterium tumefaciens Ach5
ata	Agrobacterium tumefaciens S33
avi	Agrobacterium vitis
agr	Agrobacterium sp. H13-3
agc	Agrobacterium sp. RAC06
aro	Agrobacterium rhizogenes
agt	Agrobacterium sp. 33MFTa1.1
alf	Agrobacterium larrymoorei
ret	Rhizobium etli CFN 42
rec	Rhizobium etli CIAT 652
rel	Rhizobium etli bv. mimosae Mim1
rep	Rhizobium etli bv. phaseoli IE4803
rei	Rhizobium sp. IE4771
rle	Rhizobium leguminosarum bv. viciae 3841
rlt	Rhizobium leguminosarum bv. trifolii WSM2304
rlg	Rhizobium leguminosarum bv. trifolii WSM1325
rlb	Rhizobium leguminosarum bv. trifolii WSM1689
